#TYPE Vegetable
"Name","Count","UPC","CookedState","IsRoot","IsPeeled","Color"
"corn","9","4456","Roasted","False","False","yellow"
"tomato","19","4685","Raw","False","False","red"
"cucumber","12","4380","Raw","False","False","green"
"carrot","20","4653","Roasted","True","False","orange"
"radish","17","4162","Raw","True","False","red"
"peas","1","4706","Steamed","False","False","green"
"turnip","7","4606","Boiled","True","False","purple"
"potato","8","4939","Fried","True","False","brown"
"broccoli","1","4657","Steamed","False","False","green"
"zucchini","10","4048","Raw","False","False","green"
"spinach","17","4314","Raw","False","False","green"
"cauliflower","12","4236","Steamed","False","False","white"
"pepper","12","4642","Sauteed","False","False","green"
"pepper","18","4592","Sauteed","False","False","red"
"pepper","19","4248","Sauteed","False","False","yellow"
"eggplant","7","4744","Fried","False","False","purple"
